BAIRRO,População segundo o Censo de 2010,Densidade Populacional Bruta hab/ha,Latitude,Longitude,área,Área verde,% Branca,% Preta,% Amarela,% Parda,% Indígena,0 a 4 anos,5 a 9 anos,10 a 14 anos,15 a 19 anos,20 a 49 anos,50 a 64 anos,acima de 65 anos,"População acima de 15 anos não alfabetizada (%)",Total de domicílios,Total de domicílios próprios,Total de domicílios alugados,Total de domicílios cedidos,Rendimento médio,Prefeitura bairro,Acumulado de chuva 2023 (mm),Acumulado de chuva 2022 (mm),Acumulado de chuva 2021 (mm),Acumulado de chuva 2020 (mm),Acumulado de chuva 2019 (mm),Rendimento médio atualizado
Narandiba,14368,127.86,-12.9619553,-38.437845,1123705.64,184676.53,14.37,29.7,1.39,54.36,0.19,7.49,7.45,9.03,9.22,56.34,8.59,1.89,6.01,4964,65.72,30.31,3.91,1300.4,8,0.0,0.0,0.0,0.0,0.0,2465.05332464
Santa Cruz,27083,450.63,-13.0042766,-38.4754641,600958.14,29461.08,10.59,39.31,1.27,48.6,0.24,6.34,6.83,8.56,8.46,52.75,11.42,5.65,6.07,8462,83.23,13.78,2.79,1190.9,6,0.0,0.0,0.0,0.0,0.0,2257.4838544400004
Arraial do Retiro,8938,154.96,-12.944444,-38.466389,576808.38,159357.41,11.79,33.67,1.73,52.07,0.74,6.78,7.34,8.38,8.28,53.22,12.42,3.58,6.14,2845,77.45,15.37,3.34,1080.3,8,0.0,0.0,0.0,0.0,0.0,2047.82921148
Jardim Nova Esperança,14008,111.89,,,1251913.9,424685.51,15.08,31.97,1.49,51.33,0.13,7.37,7.63,9.03,8.41,53.13,10.62,3.81,6.19,4567,85.31,12.02,2.4,1272.5,9,1039.8,0.0,0.0,1761.9,0.0,2412.165761
Rio Sena,16379,152.22,-12.8792492,-38.478344,1045416.13,150508.83,8.14,34.69,1.5,55.61,0.06,9.24,9.83,8.19,7.57,50.93,10.39,3.85,6.24,5055,85.6,10.91,3.39,745.0,2,1231.5,981.6,760.3,1584.8,996.2,1412.230642
Alto do Coqueirinho,11145,239.37,-12.941389,-38.371389,465587.82,21089.23,13.77,34.1,1.51,50.3,0.32,7.45,7.87,9.3,8.92,51.75,11.14,3.58,6.26,3445,73.28,23.93,2.47,1146.3,4,0.0,0.0,0.0,0.0,0.0,2172.93957708
Calçada,5024,68.34,-12.9469169,-38.49787,734970.95,8022.95,14.37,29.24,0.52,55.71,0.16,6.79,7.29,7.92,8.46,49.72,13.42,6.41,6.28,1704,76.57,18.61,4.08,989.6,5,1026.2,0.0,0.0,0.0,0.0,1875.8972393600002
Mata Escura,32349,116.51,-12.9322976,-38.4583242,2776403.14,913135.86,12.92,31.51,1.66,53.58,0.32,6.53,6.73,8.08,8.29,56.59,10.57,3.21,6.28,12064,83.46,14.0,2.19,1107.4,8,0.0,0.0,0.0,0.0,0.0,2099.20028584
Sussuarana,28809,186.3,-12.9347768,-38.4460352,1546362.7,209210.07,10.76,34.93,1.39,52.67,0.24,7.69,8.21,8.89,8.62,52.64,10.65,3.3,6.38,9220,80.49,15.85,3.41,985.4,8,1220.8,812.2,0.0,0.0,0.0,1867.9356706400001
Lobato,29169,192.81,-12.9115261,-38.480543,1508191.38,126355.24,9.05,31.42,1.22,58.2,0.11,6.69,7.76,9.27,8.85,51.09,11.75,4.6,6.41,9142,81.48,14.96,2.12,802.4,5,0.0,0.0,0.0,0.0,0.0,1521.03874784
Jardim Cajazeiras,7572,109.66,-12.9173516,-38.4498777,690531.99,132390.05,11.46,28.84,1.22,58.31,0.17,7.34,8.32,9.8,9.24,51.52,10.31,3.46,6.47,2342,78.58,17.31,3.94,900.2,9,907.8,0.0,742.8,1797.6,0.0,1706.42956232
São João do Cabrito,21284,231.37,-12.902953,-38.4816641,921492.29,63328.43,9.55,34.71,1.73,53.73,0.28,9.71,9.49,7.84,7.15,50.36,10.97,4.49,6.5,6409,84.63,11.85,3.13,766.4,2,0.0,0.0,0.0,0.0,0.0,1452.79673024
Itinga,11951,35.79,-12.8802195,-38.3599894,3344721.16,1050820.44,10.87,38.34,1.5,49.01,0.28,7.51,8.47,9.2,8.87,51.36,10.61,3.97,6.51,3736,81.34,14.63,3.46,908.7,4,0.0,0.0,0.0,0.0,0.0,1722.5422609200002
Nova Brasília,16716,56.81,,,2942568.7,1535371.29,12.87,30.99,1.5,54.43,0.2,8.06,8.33,8.85,8.7,54.31,8.76,2.99,6.51,5478,85.22,11.87,2.6,1400.3,9,1086.4,0.0,0.0,1584.8,0.0,2654.42492348
Sete de Abril,18215,116.36,-12.9173664,-38.4347876,1565424.64,474487.73,11.32,32.89,1.31,54.32,0.16,7.44,8.03,9.11,8.81,50.52,11.17,4.92,6.52,5740,80.9,14.08,4.48,821.3,9,956.6,969.6,0.0,0.0,0.0,1556.86580708
São Tomé,7207,7.82,-12.8175967,-38.4854044,9239933.61,4425644.98,13.29,23.59,1.68,61.37,0.07,8.62,9.35,8.85,7.17,49.16,11.97,4.87,6.55,2165,86.92,7.45,5.54,1585.2,2,0.0,0.0,0.0,0.0,0.0,3004.92350832
Comércio,1345,9.86,-12.969817,-38.5112709,1404535.1,33891.15,15.76,22.23,0.97,60.89,0.15,6.54,6.39,9.22,8.33,51.75,12.49,5.28,6.69,406,69.58,19.2,4.99,1357.0,1,0.0,0.0,0.0,0.0,0.0,2572.3449412
Retiro,262,2.38,-12.9569389,-38.4739341,1102232.19,115003.9,5.73,18.7,4.2,51.53,0.0,2.67,9.16,7.25,5.34,37.02,13.74,4.96,6.88,93,67.39,4.35,6.52,1145.8,7,944.8,949.8,732.2,1584.8,0.0,2171.99177128
São Marcos,28591,269.98,-12.9222356,-38.440638,1058958.92,189015.34,10.36,35.83,1.8,51.56,0.44,7.32,7.89,9.71,9.1,51.96,10.06,3.96,6.93,8879,79.13,18.35,2.19,839.5,9,909.4,0.0,0.0,1584.8,0.0,1591.3659382
Calabetão,7298,124.14,-12.9326581,-38.4697268,587859.94,91715.67,8.18,36.79,1.84,52.92,0.27,8.24,8.17,10.36,9.91,50.99,9.51,2.84,7.03,2202,85.06,12.3,2.46,714.7,8,911.6,0.0,0.0,0.0,676.4,1354.7936105200001
Arenoso,16604,301.89,-12.948056,-38.441667,550049.67,31109.06,10.64,36.78,1.59,50.71,0.28,7.14,7.93,9.58,9.77,52.19,10.71,2.67,7.26,5356,84.01,14.03,1.93,763.7,8,0.0,0.0,0.0,0.0,0.0,1447.67857892
Valéria,26210,21.46,-12.861071,-38.433227,12220152.79,4699236.26,14.44,28.54,1.98,54.72,0.32,8.54,9.28,9.88,9.28,50.14,9.4,3.5,7.4,8106,81.89,14.18,3.49,873.0,10,988.0,0.0,0.0,0.0,470.3,1654.8689268
Calabar,6484,458.88,-13.003251,-38.5152233,141301.91,6426.6,9.81,43.43,1.17,45.06,0.52,7.25,7.0,8.37,8.67,51.1,12.38,5.23,7.45,2022,80.91,16.86,1.78,1029.2,6,0.0,0.0,0.0,0.0,0.0,1950.96345872
Ilha de Bom Jesus dos Passos,1465,31.34,-12.761151,-38.6432934,467381.48,29561.36,21.16,9.35,0.41,69.08,0.0,9.28,8.33,7.51,6.69,47.58,11.67,8.94,7.67,424,91.27,7.55,1.18,692.5,2,0.0,0.0,0.0,0.0,0.0,1312.711033
Nova Sussuarana,12206,249.61,-12.9350792,-38.437649,489041.59,52109.08,9.59,34.18,1.53,54.37,0.32,8.18,8.92,9.71,10.61,49.8,10.13,2.64,7.99,3630,85.86,11.86,2.26,863.1,8,0.0,0.0,0.0,0.0,0.0,1636.10237196
Porto Seco Pirajá,72,0.65,-12.9104078,-38.4548988,1114255.32,72134.8,6.94,9.72,22.22,61.11,0.0,9.72,6.94,16.67,11.11,43.06,11.11,1.39,8.33,21,76.19,19.05,4.76,670.9,9,0.0,0.0,0.0,0.0,0.0,1271.76582244
Fazenda Coutos,24255,283.82,-12.8501606,-38.4609849,854609.44,21855.62,8.09,36.16,1.11,54.41,0.24,10.26,10.01,8.71,8.13,48.73,10.95,3.21,8.75,7112,85.8,10.83,3.09,644.8,2,955.8,1016.4,300.0,0.0,426.6,1222.29035968
Nova Constituinte,9410,96.53,,,974782.81,263574.61,9.93,33.26,1.38,55.13,0.3,10.97,10.89,8.74,8.64,47.35,10.24,3.17,9.29,2951,90.26,6.65,2.89,584.6,2,0.0,0.0,0.0,0.0,0.0,1108.1745413600001
Saramandaia,11272,343.97,-12.9741514,-38.4686548,327728.85,16187.19,8.92,38.79,1.34,50.77,0.18,8.35,9.21,9.87,8.87,50.55,10.18,2.97,10.21,3451,81.01,15.13,3.71,718.3,8,906.2,967.0,709.4,1292.8,0.0,1361.61781228
Areia Branca,2594,9.01,-12.8475,-38.359167,2895468.1,1075278.66,13.03,27.41,0.42,59.14,0.0,9.37,10.64,11.57,10.41,46.14,8.6,3.28,10.65,757,84.11,10.55,4.67,585.1,4,0.0,0.0,0.0,0.0,0.0,1109.1223471600001
Cassange,4633,3.06,-12.8751229,-38.3798065,15119314.38,9280276.73,12.61,34.94,1.19,51.18,0.09,7.62,9.32,10.04,9.11,50.18,10.17,3.56,10.76,1386,85.76,6.87,7.23,799.4,4,0.0,0.0,0.0,0.0,0.0,1515.35191304
Bairro da Paz,19407,138.58,-12.928333,-38.374444,1400388.4,153554.22,9.67,36.98,1.25,51.57,0.53,8.47,9.48,10.87,10.9,50.09,8.11,2.09,11.47,6067,85.31,12.05,2.53,776.1,4,0.0,0.0,0.0,0.0,0.0,1471.1841627600002
Palestina,6007,72.95,-12.8735643,-38.4164029,828299.38,219252.58,12.45,32.03,2.18,53.19,0.15,8.06,8.89,10.9,10.09,48.73,9.42,3.91,11.68,1779,86.95,10.45,1.75,661.8,10,527.2,871.2,917.4,1584.8,883.6,1254.51575688
Nova Esperança,6732,5.67,-12.8426632,-38.3729276,11854563.38,5029563.54,13.25,26.95,1.6,57.89,0.31,10.37,10.78,11.68,10.32,46.73,7.19,2.93,14.11,1998,78.34,15.63,5.38,981.0,4,860.5,0.0,0.0,1584.8,624.3,1859.5949796
Ilha de Maré,4236,3.85,-12.7734006,-38.5250368,11012347.37,5423563.57,5.17,29.84,1.84,63.15,0.0,9.75,10.01,9.28,7.27,45.94,11.73,6.02,16.39,1229,94.46,3.01,1.95,677.6,2,700.8,0.0,0.0,0.0,663.6,1284.46642016
Ilha dos Frades/Ilha de Santo Antônio,733,0.54,-12.7992731,-38.6279726,13628776.06,9193548.76,13.23,5.73,1.09,79.54,0.41,7.23,8.05,7.64,6.14,46.52,16.92,7.5,17.98,219,91.32,5.02,3.65,682.9,2,0.0,0.0,0.0,0.0,0.0,1294.51316164
Centro Administrativo da Bahia,0,0.0,-12.9491408,-38.4310335,2129146.32,739842.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0
Chame-Chame,5876,352.49,-13.0043121,-38.5203731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Colinas de Periperi,2353,179.62,-12.8680352,-38.4582232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Dois de Julho,6391,245.34,-12.982429,-38.515711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Horto Florestal,8188,88.09,-13.0007732,-38.4874101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Ilha Amarela,14937,279.5,-12.8894405,-38.4747257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Mirante de Periperi,3867,299.3,-12.8380062,-38.4692031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1024.2,1128.4,885.8,1600.0,1056.0,0.0
Vista Alegre,7916,190.79,-12.8525934,-38.4630779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
