WKT,nome,descrição
"POINT (-38.4985747 -13.0082497)",Colégio Passos do Saber,
"POINT (-38.4917632 -13.0099061)",Escola Municipal Senhora Santana,
"POINT (-38.4689724 -13.0060481)",Colégio Estadual Polivalente De Amaralina,
"POINT (-38.4794711 -13.0119542)",Escola Adventista de Amaralina,
"POINT (-38.474078 -13.0126701)",ESCOLA ESPELHO MEU,
"POINT (-38.4721038 -13.00716)",Escola Passos do Saber,
"POINT (-38.472384 -13.0126048)",CMEI Amaralina,
"POINT (-38.4685548 -13.0056804)",Escola Municipal Zulmira Torres,
"POINT (-38.47318629999999 -13.0104581)",Escola Professor Bernadino Moreira,
"POINT (-38.4745557 -13.0122191)",Escola Casa de Belém,
"POINT (-38.47244329999999 -13.0121858)",Escola Kily Kids,
"POINT (-38.4780966 -13.008241)",E.P.A. Escola por Princípios de Amaralina,
"POINT (-38.47568220000001 -13.0076404)",Escola Colombo,
"POINT (-38.4759092 -13.0032404)",Escola Municipal Teodoro Sampaio,
"POINT (-38.4763145 -13.004343)",Escola Moranguinho e Sua Turma,
"POINT (-38.4738231 -13.0073446)",Escola Municipal Santo André,
"POINT (-38.4789235 -13.0076042)",ESCOLA HORIZONTES DO SABER,
"POINT (-38.4725851 -13.0051689)",Escola Municipal Sao Pedro Nolasco,
"POINT (-38.47837860000001 -13.0007335)",Escola Municipal Cristo E Vida,
"POINT (-38.4827439 -13.0060126)",Escola Municipal Vale Das Pedrinhas,
"POINT (-38.4776673 -13.0020845)",Escola Municipal Artur De Sales,
"POINT (-38.4746701 -13.0034551)",Escola Municipal Artur De Sales,
"POINT (-38.4956563 -13.001794)",Colégio Engenho Velho Da Federação,
"POINT (-38.4951057 -12.9984423)",Engenho Velho da Federação,
"POINT (-38.4957457 -12.9955889)",Escola Municipal Engenho Velho Da Federacao,
"POINT (-38.4816957 -12.9942543)",Escola Sol do Candeal,
"POINT (-38.4820104 -12.9943481)",Escola Emanuel,
"POINT (-38.4839971 -12.9919247)",Colégio Estadual Manoel Vitorino - Tempo Integral,
