WKT,nome,descrição,Tipo,cor,longitude,latitude
POINT (-38.4980498 -12.9287164),ESCOLA ESTADUAL PROFESSORA OCRIDALINA MADUREIRA,,Centro de formação e educação,#EC2505,-38.4980498,-12.9287164
POINT (-38.4689739 -12.9195621),Escola Municipal Campinas de Pirajá,,Centro de formação e educação,#EC2505,-38.4689739,-12.9195621
POINT (-38.3323609 -12.9368626),Escola Gênesis | Stella Maris,,Centro de formação e educação,#EC2505,-38.3323609,-12.9368626
POINT (-38.4564323 -12.9916601),Colégio Estadual Raphael Serravalle,,Centro de formação e educação,#EC2505,-38.4564323,-12.9916601
POINT (-38.4339105 -12.9697422),Colégio Estadual Professor Rômulo Almeida,,Centro de formação e educação,#EC2505,-38.4339105,-12.9697422
POINT (-38.4746288 -12.8884354),Escola Meu Jardim,,Centro de formação e educação,#EC2505,-38.4746288,-12.8884354
POINT (-38.5058916 -12.9314889),Colegio Arte,,Centro de formação e educação,#EC2505,-38.5058916,-12.9314889
POINT (-38.4479277 -12.9459275),Colégio Bom Jesus,,Centro de formação e educação,#EC2505,-38.4479277,-12.9459275
POINT (-38.4949583 -12.9854856),Colégio Nossa Senhora da Conceição,,Centro de formação e educação,#EC2505,-38.4949583,-12.9854856
POINT (-38.4787079 -12.9334987),Colégio Império do Saber,,Centro de formação e educação,#EC2505,-38.4787079,-12.9334987
POINT (-38.4497828 -12.9964595),Colégio Cândido Portinari,,Centro de formação e educação,#EC2505,-38.4497828,-12.9964595
POINT (-38.4892951 -12.9857679),Colégio Patrícia Lima,,Centro de formação e educação,#EC2505,-38.4892951,-12.9857679
POINT (-38.4496435 -12.9994836),Colegio Integral - Portaria Principal,,Centro de formação e educação,#EC2505,-38.4496435,-12.9994836
POINT (-38.4524659 -13.0021265),Colégio Anchieta,,Centro de formação e educação,#EC2505,-38.4524659,-13.0021265
POINT (-38.4394345 -12.9644894),Colégio Paralela,,Centro de formação e educação,#EC2505,-38.4394345,-12.9644894
POINT (-38.49120200000001 -12.9714654),Colégio Mundial,,Centro de formação e educação,#EC2505,-38.49120200000001,-12.9714654
POINT (-38.4482233 -12.9600988),Colégio Estadual Governador Otávio Mangabeira,,Centro de formação e educação,#EC2505,-38.4482233,-12.9600988
POINT (-38.4325016 -12.9014107),Colégio Estadual Professor Raymundo de Almeida Gouveia,,Centro de formação e educação,#EC2505,-38.4325016,-12.9014107
POINT (-38.4490874 -12.9439),Colégio Estadual Helena Magalhaes,,Centro de formação e educação,#EC2505,-38.4490874,-12.9439
POINT (-38.4591495 -12.8551689),Colégio Estadual Monteiro Lobato,,Centro de formação e educação,#EC2505,-38.4591495,-12.8551689
POINT (-38.4870946 -12.8998854),Colégio Estadual de Plataforma,,Centro de formação e educação,#EC2505,-38.4870946,-12.8998854
POINT (-38.4493138 -12.9973804),Colégio Estadual Thales de Azevedo,,Centro de formação e educação,#EC2505,-38.4493138,-12.9973804
POINT (-38.4842544 -12.9918325),Colégio Estadual Luis Viana,,Centro de formação e educação,#EC2505,-38.4842544,-12.9918325
POINT (-38.4868943 -12.9837115),Colégio Estadual Doutor Joao Pedro Dos Santos,,Centro de formação e educação,#EC2505,-38.4868943,-12.9837115
POINT (-38.4438362 -12.9489432),Colégio Estadual Deputado Luis Eduardo Magalhaes,,Centro de formação e educação,#EC2505,-38.4438362,-12.9489432
POINT (-38.4450222 -12.9850153),Colégio Estadual Carlos Marighella,,Centro de formação e educação,#EC2505,-38.4450222,-12.9850153
POINT (-38.4023719 -12.8890597),ESCOLA ESTADUAL LUIZ JOSE DE OLIVEIRA,,Centro de formação e educação,#EC2505,-38.4023719,-12.8890597
POINT (-38.4700807 -12.8392599),Colégio Estadual Sete De Setembro,,Centro de formação e educação,#EC2505,-38.4700807,-12.8392599
POINT (-38.4481942 -12.9600921),Colégio Estadual Governador Otávio Mangabeira,,Centro de formação e educação,#EC2505,-38.4481942,-12.9600921
POINT (-38.4761678 -12.9355729),Colégio Estadual Desembargador Pedro Ribeiro,,Centro de formação e educação,#EC2505,-38.4761678,-12.9355729
POINT (-38.4325016 -12.9014107),Colégio Estadual Professor Raymundo de Almeida Gouveia,,Centro de formação e educação,#EC2505,-38.4325016,-12.9014107
POINT (-38.4870946 -12.8998854),Colégio Estadual de Plataforma,,Centro de formação e educação,#EC2505,-38.4870946,-12.8998854
POINT (-38.5298434 -13.0060164),Colégio Estadual João das Botas,,Centro de formação e educação,#EC2505,-38.5298434,-13.0060164
POINT (-38.4075505 -12.8910779),Colégio Estadual Dona Mora Guimarães,,Centro de formação e educação,#EC2505,-38.4075505,-12.8910779
POINT (-38.43581770000001 -12.9730423),Centro Educacional Imbuí,,Centro de formação e educação,#EC2505,-38.43581770000001,-12.9730423
